Sexe;Epreuve;Points;Perf;Code epreuve
Men;110mH / 100mH;819;-;Men-110mH / 100mH
Men;400mH;819;56.77;Men-400mH
Men;4x100m;819;43.75;Men-4x100m
Men;4x200m;819;1:31.54;Men-4x200m
Men;4x400m;819;3:26.65;Men-4x400m
Men;600m;819;1:23.41;Men-600m
Men;800m;819;1:57.68;Men-800m
Men;1000m;819;2:32.10;Men-1000m
Men;1500m;819;4:03.07;Men-1500m
Men;Mile;819;4:22.24;Men-Mile
Men;2000m;819;5:34.21;Men-2000m
Men;HJ;819;-;Men-HJ
Men;PV;819;4.35;Men-PV
Men;LJ;819;-;Men-LJ
Men;TJ;819;13.71;Men-TJ
Men;SP;819;14.92;Men-SP
Men;DT;819;46.80;Men-DT
Men;HT;819;55.17;Men-HT
Men;JT;819;60.07;Men-JT
Men;Decathlon / Heptathlon;819;5987;Men-Decathlon / Heptathlon
Men;100m;820;11.23;Men-100m
Men;200m;820;22.79;Men-200m
Men;300m;820;36.03;Men-300m
Men;400m;820;50.66;Men-400m
Men;500m;820;1:06.56;Men-500m
Men;110mH / 100mH;820;15.45;Men-110mH / 100mH
Men;400mH;820;56.74;Men-400mH
Men;4x100m;820;43.74;Men-4x100m
Men;4x200m;820;1:31.51;Men-4x200m
Men;4x400m;820;3:26.57;Men-4x400m
Men;600m;820;1:23.39;Men-600m
Men;800m;820;1:57.64;Men-800m
Men;1000m;820;2:32.04;Men-1000m
Men;1500m;820;4:02.98;Men-1500m
Men;Mile;820;4:22.15;Men-Mile
Men;2000m;820;5:34.09;Men-2000m
Men;HJ;820;-;Men-HJ
Men;PV;820;-;Men-PV
Men;LJ;820;6.52;Men-LJ
Men;TJ;820;13.72;Men-TJ
Men;SP;820;14.94;Men-SP
Men;DT;820;46.86;Men-DT
Men;HT;820;55.23;Men-HT
Men;JT;820;60.14;Men-JT
Men;Decathlon / Heptathlon;820;5993;Men-Decathlon / Heptathlon
Men;100m;821;-;Men-100m
Men;200m;821;22.78;Men-200m
Men;300m;821;36.01;Men-300m
Men;400m;821;50.64;Men-400m
Men;500m;821;1:06.53;Men-500m
Men;110mH / 100mH;821;-;Men-110mH / 100mH
Men;400mH;821;56.72;Men-400mH
Men;4x100m;821;43.72;Men-4x100m
Men;4x200m;821;1:31.48;Men-4x200m
Men;4x400m;821;3:26.49;Men-4x400m
Men;600m;821;1:23.36;Men-600m
Men;800m;821;1:57.60;Men-800m
Men;1000m;821;2:31.99;Men-1000m
Men;1500m;821;4:02.90;Men-1500m
Men;Mile;821;4:22.06;Men-Mile
Men;2000m;821;5:33.98;Men-2000m
Men;HJ;821;-;Men-HJ
Men;PV;821;-;Men-PV
Men;LJ;821;-;Men-LJ
Men;TJ;821;13.73;Men-TJ
Men;SP;821;14.95;Men-SP
Men;DT;821;46.91;Men-DT
Men;HT;821;55.30;Men-HT
Men;JT;821;60.21;Men-JT
Men;Decathlon / Heptathlon;821;6000;Men-Decathlon / Heptathlon
Men;100m;822;11.22;Men-100m
Men;200m;822;-;Men-200m
Men;300m;822;36.00;Men-300m
Men;400m;822;50.62;Men-400m
Men;500m;822;1:06.51;Men-500m
Men;110mH / 100mH;822;15.44;Men-110mH / 100mH
Men;400mH;822;56.69;Men-400mH
Men;4x100m;822;43.71;Men-4x100m
Men;4x200m;822;1:31.45;Men-4x200m
Men;4x400m;822;3:26.41;Men-4x400m
Men;600m;822;1:23.33;Men-600m
Men;800m;822;1:57.56;Men-800m
Men;1000m;822;2:31.94;Men-1000m
Men;1500m;822;4:02.81;Men-1500m
Men;Mile;822;4:21.96;Men-Mile
Men;2000m;822;5:33.86;Men-2000m
Men;HJ;822;-;Men-HJ
Men;PV;822;4.36;Men-PV
Men;LJ;822;6.53;Men-LJ
Men;TJ;822;13.74;Men-TJ
Men;SP;822;14.97;Men-SP
Men;DT;822;46.97;Men-DT
Men;HT;822;55.36;Men-HT
Men;JT;822;60.28;Men-JT
Men;Decathlon / Heptathlon;822;6007;Men-Decathlon / Heptathlon
Men;100m;823;-;Men-100m
Men;200m;823;22.77;Men-200m
Men;300m;823;35.99;Men-300m
Men;400m;823;50.60;Men-400m
Men;500m;823;1:06.49;Men-500m
Men;110mH / 100mH;823;15.43;Men-110mH / 100mH
Men;400mH;823;56.67;Men-400mH
Men;4x100m;823;43.69;Men-4x100m
Men;4x200m;823;1:31.41;Men-4x200m
Men;4x400m;823;3:26.34;Men-4x400m
Men;600m;823;1:23.30;Men-600m
Men;800m;823;1:57.52;Men-800m
Men;1000m;823;2:31.89;Men-1000m
Men;1500m;823;4:02.72;Men-1500m
Men;Mile;823;4:21.87;Men-Mile
Men;2000m;823;5:33.74;Men-2000m
Men;HJ;823;-;Men-HJ
Men;PV;823;-;Men-PV
Men;LJ;823;-;Men-LJ
Men;TJ;823;13.75;Men-TJ
Men;SP;823;14.99;Men-SP
Men;DT;823;47.02;Men-DT
Men;HT;823;55.43;Men-HT
Men;JT;823;60.35;Men-JT
Men;Decathlon / Heptathlon;823;6013;Men-Decathlon / Heptathlon
Men;100m;824;-;Men-100m
Men;200m;824;22.76;Men-200m
Men;300m;824;35.98;Men-300m
Men;400m;824;50.59;Men-400m
Men;500m;824;1:06.46;Men-500m
Men;110mH / 100mH;824;-;Men-110mH / 100mH
Men;400mH;824;56.65;Men-400mH
Men;4x100m;824;43.68;Men-4x100m
Men;4x200m;824;1:31.38;Men-4x200m
Men;4x400m;824;3:26.26;Men-4x400m
Men;600m;824;1:23.27;Men-600m
Men;800m;824;1:57.48;Men-800m
Men;1000m;824;2:31.84;Men-1000m
Men;1500m;824;4:02.64;Men-1500m
Men;Mile;824;4:21.78;Men-Mile
Men;2000m;824;5:33.62;Men-2000m
Men;HJ;824;-;Men-HJ
Men;PV;824;-;Men-PV
Men;LJ;824;6.54;Men-LJ
Men;TJ;824;13.76;Men-TJ
Men;SP;824;15.01;Men-SP
Men;DT;824;47.08;Men-DT
Men;HT;824;55.49;Men-HT
Men;JT;824;60.42;Men-JT
Men;Decathlon / Heptathlon;824;6020;Men-Decathlon / Heptathlon
Men;100m;825;11.21;Men-100m
Men;200m;825;22.75;Men-200m
Men;300m;825;35.96;Men-300m
Men;400m;825;50.57;Men-400m
Men;500m;825;1:06.44;Men-500m
Men;110mH / 100mH;825;15.42;Men-110mH / 100mH
Men;400mH;825;56.62;Men-400mH
Men;4x100m;825;43.66;Men-4x100m
Men;4x200m;825;1:31.35;Men-4x200m
Men;4x400m;825;3:26.18;Men-4x400m
Men;600m;825;1:23.25;Men-600m
Men;800m;825;1:57.45;Men-800m
Men;1000m;825;2:31.78;Men-1000m
Men;1500m;825;4:02.55;Men-1500m
Men;Mile;825;4:21.68;Men-Mile
Men;2000m;825;5:33.50;Men-2000m
Men;HJ;825;-;Men-HJ
Men;PV;825;4.37;Men-PV
Men;LJ;825;-;Men-LJ
Men;TJ;825;13.77;Men-TJ
Men;SP;825;15.02;Men-SP
Men;DT;825;47.13;Men-DT
Men;HT;825;55.56;Men-HT
Men;JT;825;60.49;Men-JT
Men;Decathlon / Heptathlon;825;6027;Men-Decathlon / Heptathlon
Men;100m;826;-;Men-100m
Men;200m;826;-;Men-200m
Men;300m;826;35.95;Men-300m
Men;400m;826;50.55;Men-400m
Men;500m;826;1:06.42;Men-500m
Men;110mH / 100mH;826;15.41;Men-110mH / 100mH
Men;400mH;826;56.60;Men-400mH
Men;4x100m;826;43.64;Men-4x100m
Men;4x200m;826;1:31.32;Men-4x200m
Men;4x400m;826;3:26.10;Men-4x400m
Men;600m;826;1:23.22;Men-600m
Men;800m;826;1:57.41;Men-800m
Men;1000m;826;2:31.73;Men-1000m
Men;1500m;826;4:02.46;Men-1500m
Men;Mile;826;4:21.59;Men-Mile
Men;2000m;826;5:33.39;Men-2000m
Men;HJ;826;-;Men-HJ
